fips	year	pm25
51167	2008	8.920654522
51167	2009	6.80872119
51167	2010	8.297931732
51167	2011	7.468507842
51167	2012	7.905573971
51167	2013	6.209963406
51167	2014	5.804215151
51167	2015	5.152885152
51167	2016	5.409350396
51027	2000	12.56100293
51027	2001	12.27161661
51027	2002	10.28290702
51027	2003	10.17922384
51027	2004	11.31903496
51027	2005	12.0534362
51027	2006	10.84833273
51027	2007	11.259309
51027	2008	9.047337625
51027	2009	7.025144101
51027	2010	8.546608479
51027	2011	7.97037355
51027	2012	8.277447766
51027	2013	6.438972728
51027	2014	6.12293183
51027	2015	5.593958296
51027	2016	5.707889779
51169	2000	14.18750755
51169	2001	13.53429345
51169	2002	11.5438294
51169	2003	11.02915454
51169	2004	11.93380045
51169	2005	12.9252641
51169	2006	12.52981529
51169	2007	12.27568727
51169	2008	9.563942939
51169	2009	7.872685477
51169	2010	9.105761531
51169	2011	8.649580271
51169	2012	9.07178539
51169	2013	7.17624331
51169	2014	6.674007446
51169	2015	6.134856701
51169	2016	6.988972909
51077	2000	9.616291902
51077	2001	9.855066657
51077	2002	8.928683807
51077	2003	8.329276524
51077	2004	10.26392299
51077	2005	10.39405578
51077	2006	9.657658816
51077	2007	9.689860147
51077	2008	7.774008564
51077	2009	5.985086794
51077	2010	7.065797853
51077	2011	6.070032987
51077	2012	6.044088886
51077	2013	5.225511394
51077	2014	5.199135555
51077	2015	4.035269381
51077	2016	4.006520783
51173	2000	11.49744157
51173	2001	10.97254133
51173	2002	9.778599928
51173	2003	9.621982843
51173	2004	11.24919346
51173	2005	11.58097563
51173	2006	10.76162107
51173	2007	11.1055003
51173	2008	8.758942156
51173	2009	6.874450739
51173	2010	8.108920996
51173	2011	7.209650426
51173	2012	7.467897269
51173	2013	6.205006709
51173	2014	5.850403591
51173	2015	4.8801071
51173	2016	5.102835986
51035	2000	10.65107201
51035	2001	10.30171456
51035	2002	9.34743748
51035	2003	9.303952334
51035	2004	10.86192979
51035	2005	11.033187
51035	2006	9.811930463
51035	2007	10.35700919
51035	2008	8.400169113
51035	2009	6.468661411
51035	2010	7.60331703
51035	2011	6.727166165
51035	2012	6.697700506
51035	2013	5.888676283
51035	2014	5.746959582
51035	2015	4.613568178
51035	2016	4.308763834
51197	2000	11.28805795
51197	2001	10.79659353
51197	2002	9.463491491
51197	2003	9.462200731
51197	2004	11.21952108
51197	2005	11.28906175
51197	2006	10.45863586
51197	2007	10.90217805
51197	2008	8.629764558
51197	2009	6.960859884
51197	2010	7.703854316
51197	2011	7.03372287
51197	2012	7.097538095
51197	2013	6.20235597
51197	2014	6.037396325
51197	2015	4.867889511
51197	2016	4.876130658
51021	2000	10.30806989
51021	2001	10.48140607
51021	2002	8.929555292
51021	2003	8.837561579
51021	2004	10.5957338
51021	2005	10.84922659
51021	2006	9.376009661
51021	2007	10.15089359
51021	2008	8.018201765
51021	2009	6.269634799
51021	2010	7.277875302
51021	2011	6.731833204
51021	2012	6.622833899
51021	2013	5.70707259
51021	2014	5.28977808
51021	2015	4.367699726
51021	2016	4.366689877
51185	2000	11.22407932
51185	2001	11.29149596
51185	2002	9.616367736
51185	2003	9.650323047
51185	2004	11.12453147
51185	2005	11.52651989
51185	2006	10.10289255
51185	2007	10.71765553
51185	2008	8.478920634
51185	2009	6.629742554
51185	2010	7.892307764
51185	2011	7.234821839
51185	2012	7.408808921
51185	2013	6.089789891
51185	2014	5.493692653
51185	2015	4.731644292
51185	2016	4.863233489
51790	2000	11.89999962
51790	2001	11.19999981
51790	2002	9.699999809
51790	2003	10.30000019
51790	2004	10.10000038
51790	2005	11.80000019
51790	2006	9.800000191
51790	2007	10.80000019
51790	2008	9.100000381
51790	2009	6.900000095
51790	2010	8.100000381
51790	2011	7.800000191
51790	2012	7.199999809
51790	2013	6.5
51790	2014	6.800000191
51790	2015	6.400000095
51790	2016	5.199999809
51017	2000	10.66536107
51017	2001	10.01055992
51017	2002	8.28413581
51017	2003	9.028599989
51017	2004	9.260206518
51017	2005	10.79303147
51017	2006	8.588819555
51017	2007	10.18611382
51017	2008	7.818839051
51017	2009	6.183132967
51017	2010	7.289038609
51017	2011	7.012939455
51017	2012	6.325696466
51017	2013	5.879018775
51017	2014	5.471196952
51017	2015	5.306804143
51017	2016	4.575773774
51091	2000	8.554067849
51091	2001	8.788483239
51091	2002	7.520303319
51091	2003	7.80755592
51091	2004	8.314067929
51091	2005	9.663236558
51091	2006	7.635710318
51091	2007	8.881049678
51091	2008	6.904460404
51091	2009	5.525374423
51091	2010	6.515181903
51091	2011	6.646766047
51091	2012	5.488436217
51091	2013	5.163382234
51091	2014	4.668360554
51091	2015	4.737608912
51091	2016	3.804658556
51163	2000	11.31911418
51163	2001	10.50133998
51163	2002	8.94467166
51163	2003	9.489583408
51163	2004	9.588995633
51163	2005	11.05229004
51163	2006	9.00895775
51163	2007	10.44916507
51163	2008	8.539141477
51163	2009	6.490660609
51163	2010	7.736529737
51163	2011	7.051856378
51163	2012	6.558147196
51163	2013	5.752723297
51163	2014	6.042570475
51163	2015	5.568477489
51163	2016	4.580276862
51005	2000	13.41160869
51005	2001	11.47104884
51005	2002	9.707463912
51005	2003	10.78028075
51005	2004	10.62864584
51005	2005	12.26461142
