fips	year	pm25
36103	2000	13.7497454
36103	2001	13.68147143
36103	2002	12.54998601
36103	2003	12.43619193
36103	2004	11.73810037
36103	2005	12.54884193
36103	2006	10.97162921
36103	2007	11.73735662
36103	2008	10.79517509
36103	2009	9.201803879
36103	2010	9.10663279
36103	2011	9.120639328
36103	2012	8.017069341
36103	2013	8.353668654
36103	2014	8.320489619
36103	2015	8.58716636
36103	2016	7.927779951
72001	2005	
72001	2006	
72001	2008	
72001	2009	
72001	2010	
72001	2011	
72001	2012	
72001	2013	
72001	2014	
72001	2015	
72001	2016	
72003	2005	
72003	2006	
72003	2008	
72003	2009	
72003	2010	
72003	2011	
72003	2012	
72003	2013	
72003	2014	
72003	2015	
72003	2016	
72005	2005	
72005	2006	
72005	2008	
72005	2009	
72005	2010	
72005	2011	
72005	2012	
72005	2013	
72005	2014	
72005	2015	
72005	2016	
72093	2005	
72093	2006	
72093	2008	
72093	2009	
72093	2010	
72093	2011	
72093	2012	
72093	2013	
72093	2014	
72093	2015	
72093	2016	
72011	2005	
72011	2006	
72011	2008	
72011	2009	
72011	2010	
72011	2011	
72011	2012	
72011	2013	
72011	2014	
72011	2015	
72011	2016	
72141	2005	
72141	2006	
72141	2008	
72141	2009	
72141	2010	
72141	2011	
72141	2012	
72141	2013	
72141	2014	
72141	2015	
72141	2016	
72013	2005	
72013	2006	
72013	2008	
72013	2009	
72013	2010	
72013	2011	
72013	2012	
72013	2013	
72013	2014	
72013	2015	
72013	2016	
72017	2005	
72017	2006	
72017	2008	
72017	2009	
72017	2010	
72017	2011	
72017	2012	
72017	2013	
72017	2014	
72017	2015	
72017	2016	
72023	2005	
72023	2006	
72023	2008	
72023	2009	
72023	2010	
72023	2011	
72023	2012	
72023	2013	
72023	2014	
72023	2015	
72023	2016	
72111	2005	
72111	2006	
72111	2008	
72111	2009	
72111	2010	
72111	2011	
72111	2012	
72111	2013	
72111	2014	
72111	2015	
72111	2016	
72027	2005	
72027	2006	
72027	2008	
72027	2009	
72027	2010	
72027	2011	
72027	2012	
72027	2013	
72027	2014	
72027	2015	
72027	2016	
72081	2005	
72081	2006	
72081	2008	
72081	2009	
72081	2010	
72081	2011	
72081	2012	
72081	2013	
72081	2014	
72081	2015	
72081	2016	
72121	2005	
72121	2006	
72121	2008	
72121	2009	
72121	2010	
72121	2011	
72121	2012	
72121	2013	
72121	2014	
72121	2015	
72121	2016	
72039	2005	
72039	2006	
72039	2008	
72039	2009	
72039	2010	
72039	2011	
72039	2012	
72039	2013	
72039	2014	
72039	2015	
72039	2016	
72051	2005	
72051	2006	
72051	2008	
72051	2009	
72051	2010	
72051	2011	
72051	2012	
72051	2013	
72051	2014	
72051	2015	
72051	2016	
72055	2005	
72055	2006	
72055	2008	
72055	2009	
72055	2010	
72055	2011	
72055	2012	
72055	2013	
72055	2014	
72055	2015	
72055	2016	
72054	2005	
72054	2006	
72054	2008	
72054	2009	
72054	2010	
72054	2011	
72054	2012	
72054	2013	
72054	2014	
72054	2015	
72054	2016	
72059	2005	
72059	2006	
72059	2008	
72059	2009	
72059	2010	
72059	2011	
72059	2012	
72059	2013	
72059	2014	
72059	2015	
